192.767,60592,1573521,0.03850727127251559
192.879,70849,1573521,0.04502577340880738
192.953,71158,1573521,0.04522214829036282
193.039,72535,1573521,0.04609725577224581
193.123,72647,1573521,0.046168433722841955
193.215,73004,1573521,0.046395313440367174
193.303,73366,1573521,0.04662537074497258
193.389,75750,1573521,0.048140444264804856
193.476,75807,1573521,0.04817666875751896
193.587,75812,1573521,0.04817984634459915
193.668,76128,1573521,0.048380669848066854
193.758,76536,1573521,0.04863996095380996
193.842,76638,1573521,0.04870478373024573
193.934,76674,1573521,0.04872766235722307
194.024,76675,1573521,0.04872829787463911
194.113,77340,1573521,0.04915091695630373
194.267,77350,1573521,0.0491572721304641
194.345,77466,1573521,0.04923099215072439
194.443,77490,1573521,0.04924624456870928
194.544,84307,1573521,0.0535785667938337
194.655,84377,1573521,0.05362305301295629
194.745,91721,1573521,0.058290292916332226
194.838,91722,1573521,0.058290928433748265
194.939,91935,1573521,0.05842629364336415
195.042,92126,1573521,0.058547677469827225
195.136,92155,1573521,0.0585661074748923
195.338,92413,1573521,0.058730070968229846
195.429,92501,1573521,0.058785996500841105
195.518,92560,1573521,0.05882349202838729
195.615,92731,1573521,0.058932165506529625
195.723,92820,1573521,0.05898872655655692
195.817,92823,1573521,0.05899063310880503
195.912,92867,1573521,0.05901859587511066
196.092,92885,1573521,0.059030035188599325
196.198,92942,1573521,0.05906625968131344
196.277,92956,1573521,0.059075156925137956
196.377,92959,1573521,0.05907706347738607
196.482,93009,1573521,0.05910883934818792
196.582,93267,1573521,0.059272802841525474
196.735,93316,1573521,0.059303943194911286
196.858,93317,1573521,0.05930457871232732
196.977,93379,1573521,0.059343980792121616
197.084,101174,1573521,0.06429783905013024
197.18,101272,1573521,0.06436011975690188
197.287,101279,1573521,0.06436456837881414
197.39,101291,1573521,0.06437219458780657
197.483,101303,1573521,0.06437982079679902
197.576,119254,1573521,0.07578799393207972
197.65,119283,1573521,0.07580642393714479
197.732,119717,1573521,0.07608223849570485
197.839,119780,1573521,0.07612227609291519
197.998,119810,1573521,0.0761413416153963
198.082,119931,1573521,0.07621823922273678
198.162,119934,1573521,0.07622014577498488
198.336,120021,1573521,0.07627543579018012
198.436,120038,1573521,0.07628623958625275
198.528,120056,1573521,0.07629767889974141
198.639,120090,1573521,0.07631928649188667
198.823,120109,1573521,0.07633136132279138
198.932,120331,1573521,0.0764724461891516
199.023,124937,1573521,0.07939963940741813
199.11,124939,1573521,0.07940091044225021
199.198,150651,1573521,0.09574133424339427
199.281,150654,1573521,0.09574324079564238
199.371,150727,1573521,0.09578963356701309
199.596,150736,1573521,0.09579535322375742
199.783,150885,1573521,0.09589004531874694
199.863,151045,1573521,0.09599172810531287
199.952,160164,1573521,0.10178701142215452
200.049,160275,1573521,0.10185755385533463
200.149,160288,1573521,0.10186581558174311
200.342,160325,1573521,0.10188932972613648
200.515,160327,1573521,0.10189060076096855
200.625,160389,1573521,0.10193000284076285
200.703,160564,1573521,0.10204121838856933
200.817,160577,1573521,0.10204948011497782
201.137,160610,1573521,0.10207045218970703
201.262,160803,1573521,0.10219310705100218
201.368,160813,1573521,0.10219946222516255
201.473,162753,1573521,0.10343236601227439
201.708,162767,1573521,0.1034412632560989
201.834,162810,1573521,0.1034685905049885
201.951,162975,1573521,0.10357345087863461
202.067,163098,1573521,0.10365161952080716
202.155,163129,1573521,0.1036713205607043
202.277,163438,1573521,0.10386769544225975
202.363,163440,1573521,0.10386896647709182
202.575,163496,1573521,0.1039045554523899
202.658,163497,1573521,0.10390519096980594
202.767,163793,1573521,0.10409330412495289
202.846,163862,1573521,0.10413715482665944
202.953,163878,1573521,0.10414732310531603
203.075,165261,1573521,0.10502624369169525
203.297,165384,1573521,0.1051044123338678
203.407,165388,1573521,0.10510695440353195
203.517,165393,1573521,0.10511013199061214
203.624,165397,1573521,0.10511267406027629
203.731,165398,1573521,0.10511330957769233
203.832,165415,1573521,0.10512411337376495
203.925,165426,1573521,0.10513110406534136
204.289,167154,1573521,0.10622927816025335
204.387,167161,1573521,0.1062337267821656
204.501,167465,1573521,0.10642692407664085
204.598,167496,1573521,0.106446625116538
204.703,167531,1573521,0.1064688682260993
204.811,167536,1573521,0.10647204581317948
204.918,167542,1573521,0.1064758589176757
205.013,167566,1573521,0.1064911113356606
205.2,167570,1573521,0.10649365340532474
205.304,168258,1573521,0.10693088938755822
205.411,168305,1573521,0.10696075870611196
205.514,168439,1573521,0.10704591803986092
205.625,168446,1573521,0.10705036666177319
